NO,工号-箱头-分箱,梯种,物料编码,物料描述,特性值编码,特性值描述,数量,箱头作业指令产出日期,物料要求送货日期,生产线,生产序,备注
1,18G082615-B03-01,MCA-450-CO60,C161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
2,18G047702-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
3,18G016396-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
4,16G066815-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
5,18G065811-B03-01,HGE-Ⅲ-1050-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
6,17G062284-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
7,17G070948-B03-01,HGE-Ⅲ-825-CO90,Z161267833,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
8,19G007651-B03-01,MCA-Ⅱ-1150-CO150,A521258491,立柱装配_C0086991_D_PLF.HT=3600,,,2,2019/6/9 0:00,2019/6/6,,,
9,17G080742-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
10,17G085630-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
11,18G108439-B03-01,HGP-S-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
12,18G089227-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
13,18G024815-B03-01,HGE-Ⅲ-1050-CO105,Z161267830,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
14,17G093767-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
15,17G080740-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
16,18G113308-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
17,18G132220-B03-01,MCA-Ⅱ-1050-CO105,Z161268012,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
18,18G091165-B03-01,HGE-Ⅲ-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
19,18G090441-B03-01,HGE-Ⅲ-825-CO90,Z161267833,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
20,17G093768-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
21,18G132221-B03-01,MCA-Ⅱ-1050-CO105,Z161268106,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
22,18G108441-B03-01,HGP-S-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
23,18G047701-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
24,18G072673-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
25,18G052590-B03-01,MCA-Ⅱ-1050-2S120,Z161268892,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
26,16G066831-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
27,18G118991-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
28,18G109959-B03-01,HGE-Ⅲ-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
29,18G016395-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
30,18G065823-B03-01,HGE-Ⅲ-1050-CO90,Z161267905,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
31,16G066812-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
32,18G120833-B03-01,MCA-Ⅱ-825-CO120,Z161269107,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
33,18G109575-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
34,18G093933-B03-01,LCA-Ⅱ-1050-CO60,Z161266789,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
35,18G082616-B03-01,LGE-450-CO60,Z161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
36,19G004839-B03-01,LGE-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
37,18G089226-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
38,18G012437-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
39,16G066893-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
40,18G016370-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
41,19G035175-B03-01,MCA-Ⅱ-1050-CO90,Z161267885,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
42,16G066814-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
43,18G120832-B03-01,MCA-Ⅱ-1050-CO120,Z161269088,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
44,18G091140-B03-01,HGE-Ⅲ-1050-CO105,Z161267825,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
45,19G007652-B03-01,MCA-Ⅱ-1600-CO150,A521258491,立柱装配_C0086991_D_PLF.HT=3600,,,2,2019/6/9 0:00,2019/6/6,,,
46,18G074902-B03-01,MCA-Ⅱ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
47,18G012426-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
48,18G024816-B03-01,HGE-Ⅲ-1050-CO105,Z161267830,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
49,18G096005-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
50,18G113817-B03-01,MCA-Ⅱ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
51,16G005030-B03-01,LCA-Ⅱ-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
52,17G077693-B03-01,HGP-S-1050-CO105,Z161267909,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
53,17G085631-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
54,18G065824-B03-01,HGE-Ⅲ-1050-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
55,18G120829-B03-01,MCA-Ⅱ-1050-CO120,Z161269088,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
56,17G062281-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
57,18G108433-B03-01,HGP-S-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
58,18G096004-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
59,18G089232-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
60,17G077692-B03-01,HGP-S-1050-CO105,Z161267846,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
61,18G091138-B03-01,HGE-Ⅲ-1050-CO105,Z161267825,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
62,18G060352-B03-01,HGE-S-825-CO105,Z161269131,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
63,18G091139-B03-01,HGE-Ⅲ-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
64,18G052586-B03-01,MCA-Ⅱ-1050-2S120,Z161268892,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
65,18G108437-B03-01,HGP-S-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
66,18G120828-B03-01,MCA-Ⅱ-825-CO120,Z161269107,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
67,17G085610-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
68,18G082614-B03-01,LGE-450-CO60,Z161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
69,17G062285-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
70,18G109573-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
71,18G109960-B03-01,HGE-Ⅲ-1050-CO105,Z161267909,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
72,18G012424-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
73,17G080738-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
74,16G066875-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
75,16G066892-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
76,18G072674-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
77,18G119861-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
78,17G062282-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
79,18G039253-B03-01,MCA-Ⅱ-1050-CO150,Z161267875,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
80,18G089233-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
81,18G119860-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
82,18G119863-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
83,16G066891-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
84,19G037861-B03-01,LGE-1050-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
85,17G070954-B03-01,HGE-Ⅲ-825-CO90,Z161267981,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
86,18G078219-B03-01,HGE-Ⅲ-1050-CO90,Z161268088,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
87,17G062283-B03-01,HGE-Ⅲ-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
88,18G109574-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
89,17G080741-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
90,18G016371-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
91,17G093766-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
92,17G085611-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
93,19G035176-B03-01,MCA-Ⅱ-1050-CO90,Z161267885,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
94,18G052588-B03-01,MCA-Ⅱ-1050-2S120,Z161268892,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
95,16G066830-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
96,17G093769-B03-01,LGE-630-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
97,17G070955-B03-01,HGE-Ⅲ-825-CO90,Z161267981,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
98,18G108435-B03-01,HGP-S-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
99,18G039252-B03-01,MCA-Ⅱ-1050-CO150,Z161267875,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
100,18G057561-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
101,18G047700-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
102,18G039250-B03-01,MCA-Ⅱ-1050-CO150,Z161267875,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
103,16G066813-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
104,17G070949-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
105,18G096006-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
106,18G108432-B03-01,HGP-S-1050-CO105,Z161267835,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
107,18G113309-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
108,18G096008-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
109,18G078220-B03-01,HGE-Ⅲ-825-CO90,Z161267854,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
110,19G024772-B03-01,LGE-1050-CO60,Z161266893,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
111,17G082709-B03-01,HGE-Ⅲ-825-CO60,Z161267850,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
112,19G024771-B03-01,LGE-1050-CO60,Z161266893,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
113,18G016397-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
114,18G108443-B03-01,HGP-S-825-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
115,18G120830-B03-01,MCA-Ⅱ-825-CO120,Z161269107,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
116,18G012427-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
117,18G093934-B03-01,LCA-Ⅱ-1050-CO60,Z161266789,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
118,16G005031-B03-01,LCA-Ⅱ-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
119,18G119862-B03-01,LGE-630-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
120,19G033601-B03-01,VGE-Ⅱ-320-2S24,Z161012186,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
121,18G082613-B03-01,LGE-450-CO60,Z161268212,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
122,18G057560-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
123,17G002845-B03-01,LGE-825-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
124,17G082664-B03-01,HGE-Ⅲ-825-CO60,Z161267850,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
125,18G060353-B03-01,HGE-S-825-CO105,Z161269131,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
126,18G118992-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
127,18G047703-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
128,18G012425-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
129,18G065827-B03-01,HGE-Ⅲ-1050-CO90,Z161267905,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
130,16G066890-B03-01,VGE-400-CO24,Z161265403,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
131,18G060354-B03-01,HGE-S-825-CO105,Z161269131,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
132,17G080739-B03-01,LGE-630-CO60,Z161265486,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
133,18G118990-B03-01,LCA-Ⅱ-1050-CO105,Z161266625,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
134,18G072672-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
135,18G120831-B03-01,MCA-Ⅱ-825-CO120,Z161269107,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
136,18G078221-B03-01,HGE-Ⅲ-1050-CO90,Z161268088,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
137,18G060355-B03-01,HGE-S-825-CO105,Z161269131,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
138,18G113816-B03-01,MCA-Ⅱ-1050-CO105,Z161267846,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
139,18G078218-B03-01,HGE-Ⅲ-825-CO90,Z161267854,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
140,18G072662-B03-01,HGE-Ⅲ-1050-CO90,Z161267839,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
141,18G108431-B03-01,HGP-S-825-CO105,Z161267876,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
142,18G039251-B03-01,MCA-Ⅱ-1050-CO150,Z161267875,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
143,18G096007-B03-01,HGE-Ⅲ-825-CO90,Z161267861,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
144,16G005032-B03-01,LCA-Ⅱ-825-CO90,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
145,17G082708-B03-01,HGE-Ⅲ-825-CO60,Z161267850,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
146,18G016372-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
147,19G035169-B03-01,LCA-Ⅱ-825-CO60,Z161266853,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
148,19R000610-B03-01,LGE-825-CO60,Z161266475,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
149,19G007650-B03-01,MCA-Ⅱ-1150-CO150,A521258491,立柱装配_C0086991_D_PLF.HT=3600,,,2,2019/6/9 0:00,2019/6/6,,,
150,18G074903-B03-01,MCA-Ⅱ-900-CO105,Z161267845,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
151,19R000439-B03-01,VGE-400-CO24,Z161011987,立柱组合,,,1,2019/6/9 0:00,2019/6/6,,,
152,18G093935-B03-01,MCA-Ⅱ-1600-CO150,A521258494,立柱装配_C0086991_G_PLF.HT=4200,,,2,2019/6/9 0:00,2019/6/6,,,
153,19R000610-B03-01,LGE-825-CO60,A571259271,上横梁装配_C0104085_D_轿内宽1300,,,1,2019/6/9 0:00,2019/6/6,,,
154,18G065827-B03-01,HGE-Ⅲ-1050-CO90,Z151263879,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
155,18G118991-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
156,19G007650-B03-01,MCA-Ⅱ-1150-CO150,Z151263885,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
157,17G077693-B03-01,HGP-S-1050-CO105,Z151263951,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
158,18G072672-B03-01,HGE-Ⅲ-1050-CO90,Z151263884,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
159,17G082664-B03-01,HGE-Ⅲ-825-CO60,Z151263882,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
160,19G007651-B03-01,MCA-Ⅱ-1150-CO150,Z151263885,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
161,18G089232-B03-01,HGE-Ⅲ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
162,18G016395-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
163,18G016397-B03-01,LGE-825-CO60,A571259272,上横梁装配_C0104085_E_轿内宽1350,,,1,2019/6/9 0:00,2019/6/6,,,
164,17G062283-B03-01,HGE-Ⅲ-1050-CO105,Z151263881,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
165,16G066815-B03-01,VGE-400-CO24,A571013953,"上横梁装配_C0044159_D_轿内宽1000_轿内宽1000,限速器在一、三象限",,,1,2019/6/9 0:00,2019/6/6,,,
166,18G012426-B03-01,LCA-Ⅱ-1050-CO105,A571259275,上横梁装配_C0104085_H_轿内宽1600,,,1,2019/6/9 0:00,2019/6/6,,,
167,18G120831-B03-01,MCA-Ⅱ-825-CO120,Z151264096,上横梁组合,,,1,2019/6/9 0:00,2019/6/6,,,
